mmsi,event_id,flag,nearest_ais_km,unmatched,vessel_class,size_category,speed_knots,heading,turn_off,turn_on,lat,lon,label
258025898,1779,Norway,53.8,False,cargo,medium,11.2,291.3,2024-09-23T03:00:00,2024-09-23T09:12:08.908475,51.1276,133.9132,0
432850902,9429,Japan,34.2,False,cargo,medium,10.6,276.4,2024-08-12T09:00:00,2024-08-12T09:06:00,30.1683,-22.6809,0
235100317,1093,UK,30.3,False,bulk_carrier,VLCC,7.3,96.5,2024-09-26T03:00:00,2024-09-26T10:24:34.417950,9.2589,-5.563,0
257391995,197,Norway,203.6,False,tanker,medium,7.1,25.8,2024-01-21T05:00:00,2024-01-21T09:59:04.821111,45.036,36.1086,1
674895863,3834,Tanzania,8.9,False,container,large,7.4,98.4,2024-08-09T04:00:00,2024-08-09T04:59:03.922222,34.7267,7.865,0
234481242,1486,UK,74.4,False,container,small,9.6,194.1,2024-04-21T13:00:00,2024-04-21T13:06:00,30.4041,19.5468,0
671402345,1725,Togo,2.0,False,other,medium,22.4,348.3,2024-01-19T01:00:00,2024-01-19T02:54:37.213601,33.5912,20.9828,0
240116663,6435,Greece,179.0,True,tanker,large,7.5,354.2,2024-01-02T20:00:00,2024-01-03T22:33:19.584807,40.5378,-3.9041,1
413694896,10040,China,103.5,False,fishing,medium,12.2,8.6,2024-09-03T06:00:00,2024-09-03T09:12:00.105499,0.3926,113.3928,0
441549843,15687,South Korea,19.9,False,cargo,large,8.4,103.9,2024-04-23T00:00:00,2024-04-23T00:13:27.131325,32.0217,11.1813,0
235536095,10361,UK,9.2,False,container,medium,4.3,180.5,2024-07-22T04:00:00,2024-07-22T04:06:00,47.8128,-14.9752,0
671526507,502,Togo,228.8,False,cargo,large,6.7,181.9,2024-08-11T00:00:00,2024-08-11T16:39:23.464761,2.8825,106.3012,1
565399669,17424,Singapore,97.9,False,cargo,medium,9.6,73.1,2024-01-08T01:00:00,2024-01-08T01:06:00,6.4729,-4.326,0
511079874,1665,Palau,164.6,False,tanker,large,5.0,108.2,2024-10-18T19:00:00,2024-10-19T11:46:41.280213,0.9176,3.8026,1
674814808,19622,Tanzania,92.5,False,cargo,large,6.5,18.3,2024-05-02T04:00:00,2024-05-02T09:21:59.975260,50.5597,-34.6735,0
674948667,6213,Tanzania,48.2,False,tanker,VLCC,9.8,6.1,2024-11-21T22:00:00,2024-11-21T22:33:54.667848,36.297,22.6131,0
613947410,5534,Cameroon,2.0,False,bulk_carrier,medium,12.8,334.2,2024-03-22T22:00:00,2024-03-22T22:28:15.461184,36.8952,-32.6856,0
616519245,10777,Comoros,90.9,False,cargo,small,7.1,247.4,2024-03-24T06:00:00,2024-03-24T06:06:00,8.2466,118.3602,0
259928212,15096,Norway,76.1,False,cargo,large,6.3,129.8,2024-10-12T18:00:00,2024-10-12T19:14:04.160460,6.0565,-10.7962,0
211511378,17979,Germany,68.5,False,cargo,medium,9.6,61.7,2024-11-06T01:00:00,2024-11-06T03:08:38.462434,33.3372,4.9431,0
367727730,15771,USA,75.8,False,cargo,large,7.2,143.1,2024-05-02T06:00:00,2024-05-02T11:08:37.841814,34.2329,21.3907,0
565462160,13398,Singapore,102.4,False,bulk_carrier,small,14.4,49.2,2024-02-15T09:00:00,2024-02-15T09:13:15.833243,11.8437,109.5409,0
239511281,18512,Greece,36.3,False,fishing,large,8.4,158.9,2024-03-15T22:00:00,2024-03-16T06:32:33.484680,-4.0111,4.6798,0
258324016,14788,Norway,2.0,False,tanker,medium,7.9,168.4,2024-04-08T15:00:00,2024-04-08T15:52:13.027403,46.2821,-21.2171,0
241801039,14193,Greece,2.0,False,bulk_carrier,large,10.6,80.1,2024-11-17T17:00:00,2024-11-17T21:45:10.107079,21.2981,67.6351,0
233325344,8180,UK,119.2,False,tanker,large,11.3,124.6,2024-02-20T04:00:00,2024-02-20T07:14:29.587494,37.526,-14.0799,0
414475199,19771,China,72.0,False,cargo,VLCC,8.5,237.3,2024-04-03T19:00:00,2024-04-03T20:05:41.366749,45.1429,-17.8641,0
511568287,9935,Palau,7.3,False,cargo,large,4.4,255.7,2024-07-08T05:00:00,2024-07-08T05:06:00,7.8902,3.7673,0
237522147,17910,Greece,100.3,True,fishing,medium,7.7,78.4,2024-11-20T03:00:00,2024-11-20T03:06:00,10.2115,59.4299,0
564247571,5407,Singapore,66.5,False,tanker,VLCC,16.8,34.5,2024-11-09T12:00:00,2024-11-09T12:10:01.735832,-3.7446,-15.0249,0
240378442,1202,Greece,154.6,False,cargo,medium,11.1,210.5,2024-11-07T09:00:00,2024-11-07T13:38:56.521303,36.1198,30.5494,0
671492076,15296,Togo,59.0,False,tanker,large,13.0,300.3,2024-05-02T21:00:00,2024-05-03T00:06:29.121034,1.6594,-19.2693,0
671301152,17265,Togo,70.6,False,bulk_carrier,VLCC,12.4,346.7,2024-02-03T21:00:00,2024-02-03T21:06:00,68.3533,24.9325,0
356708619,9353,Panama,19.8,False,fishing,small,8.4,331.6,2024-03-05T20:00:00,2024-03-05T22:58:18.143006,13.8796,119.823,0
511120221,16989,Palau,94.2,False,bulk_carrier,large,3.4,254.9,2024-04-07T18:00:00,2024-04-07T20:18:49.077931,33.9504,-9.117,0
511784814,1599,Palau,252.7,False,tanker,VLCC,6.3,254.7,2024-05-10T08:00:00,2024-05-11T06:01:31.985462,37.0392,22.2003,1
538092460,16443,Marshall Islands,82.1,False,passenger,large,13.5,308.8,2024-07-21T04:00:00,2024-07-21T04:06:00,-7.3939,53.6771,0
431174220,3422,Japan,277.2,False,tanker,small,1.5,58.4,2024-05-09T09:00:00,2024-05-10T08:40:24.686617,45.3628,39.5242,1
671730046,6526,Togo,74.4,False,tanker,VLCC,11.2,156.1,2024-08-23T03:00:00,2024-08-23T09:13:58.974734,12.0877,114.564,0
538705265,14930,Marshall Islands,59.2,False,other,VLCC,14.8,136.7,2024-09-20T08:00:00,2024-09-20T08:06:00,-5.2443,59.1656,0
258218898,17280,Norway,65.1,False,tanker,medium,7.9,16.2,2024-01-02T05:00:00,2024-01-02T05:06:00,38.5568,28.7455,0
431848545,1802,Japan,39.3,False,cargo,medium,8.9,347.9,2024-11-06T23:00:00,2024-11-06T23:06:00,-4.6615,-10.0085,0
412326222,19838,China,45.3,False,tanker,medium,9.5,107.4,2024-07-06T11:00:00,2024-07-06T17:35:42.638979,43.3043,38.7783,0
440748629,9845,South Korea,113.7,False,fishing,large,9.3,29.0,2024-11-08T09:00:00,2024-11-08T12:29:43.009870,50.627,-16.5945,0
440531578,7788,South Korea,59.0,False,container,medium,10.6,102.3,2024-03-11T08:00:00,2024-03-11T12:32:54.235432,17.8185,73.0159,0
674450860,3173,Tanzania,193.6,True,tanker,large,0.0,125.6,2024-01-17T14:00:00,2024-01-19T09:10:01.862629,46.4186,40.0407,1
258418434,1449,Norway,15.5,False,bulk_carrier,medium,6.9,17.0,2024-09-02T23:00:00,2024-09-02T23:42:01.375622,37.4663,-2.3499,0
353170256,244,Panama,296.1,True,cargo,medium,3.3,299.1,2024-11-20T23:00:00,2024-11-21T20:08:13.361830,44.919,38.1312,1
219739922,16452,Denmark,24.9,False,tanker,medium,10.7,255.8,2024-11-21T05:00:00,2024-11-21T05:06:00,-8.7537,63.9719,0
239973395,18267,Greece,62.4,False,cargo,medium,14.1,32.6,2024-11-30T02:00:00,2024-11-30T02:46:43.687347,36.7059,-36.9106,0
538506656,3753,Marshall Islands,185.1,False,tanker,large,5.9,303.2,2024-03-22T09:00:00,2024-03-22T15:17:37.498200,36.8489,21.9585,1
259947954,9152,Norway,84.7,True,bulk_carrier,small,11.9,352.2,2024-04-15T04:00:00,2024-04-15T09:22:49.470247,18.0274,68.9418,0
674382858,5291,Tanzania,183.3,False,tanker,small,6.5,151.6,2024-08-13T14:00:00,2024-08-13T22:19:37.458570,17.7644,106.2141,1
351723193,19991,Panama,2.0,False,tanker,VLCC,2.7,268.5,2024-11-11T16:00:00,2024-11-11T17:39:58.443512,39.8669,25.7622,0
674617367,6400,Tanzania,171.7,True,tanker,large,2.4,122.2,2024-09-10T17:00:00,2024-09-11T11:09:16.235137,11.1595,-11.2499,1
432111300,14540,Japan,71.5,False,bulk_carrier,small,13.4,179.3,2024-05-27T10:00:00,2024-05-27T12:46:18.192221,1.3376,115.8544,0
565916359,19903,Singapore,59.1,False,container,small,9.9,178.3,2024-10-31T22:00:00,2024-10-31T22:06:00,35.7547,-5.3244,0
636640584,6463,Liberia,320.0,True,tanker,large,4.1,42.6,2024-09-26T06:00:00,2024-09-27T04:12:39.281418,44.5299,138.3611,1
431472500,12896,Japan,2.0,True,passenger,VLCC,9.5,3.6,2024-09-25T05:00:00,2024-09-25T05:06:00,51.984,134.4734,0
626619398,458,Gabon,102.9,True,tanker,large,11.5,124.6,2024-11-13T12:00:00,2024-11-13T13:01:13.074600,54.0477,134.6757,0
414594021,18743,China,67.0,False,tanker,small,12.5,107.4,2024-11-01T23:00:00,2024-11-02T01:33:44.130927,0.529,117.4611,0
211376631,17101,Germany,87.4,False,container,medium,11.9,137.3,2024-09-08T06:00:00,2024-09-08T10:30:49.218071,34.8371,22.4079,0
626567483,1924,Gabon,98.0,True,tanker,large,3.7,265.3,2024-07-27T19:00:00,2024-07-27T21:27:02.611636,35.7523,-5.2157,1
413894634,10566,China,118.0,False,bulk_carrier,small,18.0,166.0,2024-03-24T04:00:00,2024-03-24T06:35:14.842940,6.7747,51.4665,0
626978605,4480,Gabon,96.9,True,container,small,1.4,164.2,2024-11-08T09:00:00,2024-11-08T14:40:18.740472,13.0993,114.5898,0
626064375,1367,Gabon,215.5,False,tanker,large,5.9,50.0,2024-04-24T01:00:00,2024-04-24T19:41:41.362505,46.4713,36.7863,1
432930986,3184,Japan,71.2,False,container,large,17.6,341.8,2024-01-09T03:00:00,2024-01-09T03:06:00,9.718,108.4905,0
565119541,3510,Singapore,160.5,True,tanker,VLCC,5.9,324.5,2024-11-13T19:00:00,2024-11-14T12:10:58.394673,42.6237,137.6376,1
235594073,12631,UK,122.0,False,container,medium,12.4,67.0,2024-11-22T20:00:00,2024-11-22T20:06:00,-0.5092,-1.8681,0
616170494,2158,Comoros,258.2,True,tanker,large,3.8,242.8,2024-04-21T11:00:00,2024-04-21T11:30:00,26.8948,55.1459,1
637912472,18857,Liberia,48.6,False,tanker,large,15.8,91.4,2024-04-20T13:00:00,2024-04-20T13:06:00,6.293,-2.6796,0
219665235,7150,Denmark,89.2,False,cargo,large,12.4,132.0,2024-08-13T09:00:00,2024-08-13T15:41:44.797710,50.5119,-23.2577,0
303980434,18157,USA,103.3,False,tanker,small,4.0,78.8,2024-06-17T21:00:00,2024-06-18T05:02:27.060377,32.7005,21.1323,0
441370188,6044,South Korea,48.4,False,tanker,large,8.9,307.9,2024-11-26T23:00:00,2024-11-27T01:33:17.134651,18.5161,116.7051,0
613259130,5164,Cameroon,206.5,False,tanker,VLCC,4.4,32.1,2024-11-23T14:00:00,2024-11-23T14:30:00,37.0015,22.1101,1
441384507,11429,South Korea,26.4,False,bulk_carrier,small,10.2,43.0,2024-10-16T04:00:00,2024-10-16T04:06:00,33.0528,5.5671,0
616360295,5305,Comoros,192.6,True,tanker,VLCC,3.1,232.1,2024-02-02T00:00:00,2024-02-02T23:36:25.453433,26.3876,59.5,1
441639447,16349,South Korea,70.7,True,tanker,small,3.2,348.0,2024-07-21T04:00:00,2024-07-21T05:38:26.659114,7.8178,-7.8378,0
412224126,838,China,33.1,False,other,small,8.1,282.8,2024-12-20T15:00:00,2024-12-20T20:09:08.208268,4.309,113.1798,0
412245221,5163,China,55.7,False,tanker,medium,7.2,325.0,2024-05-22T09:00:00,2024-05-22T15:10:27.504634,15.4751,118.7918,0
414975727,12210,China,64.3,False,container,medium,13.8,113.2,2024-03-03T18:00:00,2024-03-04T00:40:21.450904,7.0813,74.0021,0
219222047,2729,Denmark,52.9,False,cargo,medium,11.6,262.5,2024-04-08T15:00:00,2024-04-08T15:14:54.095743,39.4181,4.9749,0
671582317,2663,Togo,91.8,True,tanker,large,9.3,98.2,2024-07-25T16:00:00,2024-07-26T04:21:35.880772,50.9045,142.0029,1
616725633,3674,Comoros,262.4,False,tanker,medium,5.0,234.2,2024-09-11T09:00:00,2024-09-12T16:07:57.772491,27.1631,57.702,1
626221217,1191,Gabon,43.0,True,bulk_carrier,large,0.5,290.7,2024-05-10T03:00:00,2024-05-11T05:05:02.411712,42.7735,140.9093,1
613315938,3405,Cameroon,2.0,False,bulk_carrier,large,13.9,91.2,2024-09-07T02:00:00,2024-09-07T03:56:14.042130,12.3893,-19.0232,0
366168420,14650,USA,85.3,False,tanker,small,12.2,58.7,2024-08-26T23:00:00,2024-08-27T02:31:57.553028,36.1441,-5.447,0
220440452,3758,Denmark,246.9,True,tanker,VLCC,3.3,9.4,2024-01-09T08:00:00,2024-01-09T17:54:00.375409,74.4057,51.1255,1
674295345,346,Tanzania,15.0,True,tanker,large,5.5,212.3,2024-06-13T16:00:00,2024-06-14T00:10:40.903576,36.3541,23.0295,1
211387562,18392,Germany,7.1,False,other,large,17.3,299.2,2024-04-19T08:00:00,2024-04-19T15:13:05.354541,36.7704,21.858,0
616289258,5200,Comoros,205.8,True,tanker,medium,3.9,336.7,2024-06-16T08:00:00,2024-06-17T01:44:20.598854,41.929,-0.1904,1
626697104,1348,Gabon,143.4,True,tanker,VLCC,2.2,0.8,2024-07-16T23:00:00,2024-07-18T01:38:59.557777,35.7087,-5.1904,1
235145097,15592,UK,80.3,False,cargo,large,9.5,38.4,2024-01-03T08:00:00,2024-01-03T12:25:10.575661,5.8733,3.4565,0
671026778,616,Togo,2.0,False,cargo,VLCC,11.5,291.0,2024-05-05T23:00:00,2024-05-05T23:06:00,35.7677,-5.1405,0
626698266,4472,Gabon,171.9,True,tanker,VLCC,5.9,341.5,2024-06-13T07:00:00,2024-06-13T07:30:00,69.9579,28.3319,1
626888656,429,Gabon,147.5,True,tanker,VLCC,5.5,170.6,2024-01-29T09:00:00,2024-01-30T13:23:23.294537,44.6605,37.276,1
511184178,19914,Palau,19.5,False,tanker,VLCC,14.1,62.0,2024-01-13T18:00:00,2024-01-14T00:49:44.308849,44.6418,36.8231,0
538448072,3610,Marshall Islands,235.4,True,bulk_carrier,large,3.7,126.5,2024-05-26T12:00:00,2024-05-27T08:28:30.506643,43.3213,37.9573,1
563701593,2580,Singapore,203.1,True,tanker,small,7.3,137.8,2024-09-22T02:00:00,2024-09-22T17:27:53.694723,-8.9131,77.0514,1
259159457,16548,Norway,72.9,True,cargo,VLCC,7.6,305.9,2024-08-28T14:00:00,2024-08-28T14:21:45.872264,38.6566,-2.8224,0
234898869,12746,UK,97.9,False,cargo,small,4.0,7.5,2024-07-24T23:00:00,2024-07-24T23:06:30.016351,4.2743,4.5406,0
674035738,5059,Tanzania,32.0,False,container,small,15.0,185.3,2024-05-12T21:00:00,2024-05-12T21:06:00,33.6839,-1.6111,0
671031967,492,Togo,178.9,True,tanker,VLCC,6.7,157.8,2024-06-24T22:00:00,2024-06-25T15:17:40.589452,36.5764,22.7949,1
563829821,6116,Singapore,23.9,False,container,large,13.3,177.6,2024-09-13T02:00:00,2024-09-13T02:06:00,47.2213,-27.1135,0
636987863,11016,Liberia,2.0,False,bulk_carrier,VLCC,15.6,167.5,2024-02-16T09:00:00,2024-02-16T12:26:04.672436,20.0679,52.4886,0
431065639,8277,Japan,31.8,False,tanker,medium,6.1,179.2,2024-06-07T01:00:00,2024-06-07T05:48:39.015960,41.5829,-22.3275,0
241837115,2741,Greece,74.9,False,fishing,medium,12.7,270.4,2024-07-13T20:00:00,2024-07-13T20:06:00,38.434,-35.1569,0
674418002,5261,Tanzania,143.9,True,tanker,large,1.5,63.4,2024-05-15T13:00:00,2024-05-15T13:36:12.866349,36.2559,22.8281,1
674486170,5805,Tanzania,112.5,False,cargo,large,3.7,7.3,2024-04-10T20:00:00,2024-04-11T06:24:04.210453,36.3688,22.8695,1
338425054,9973,USA,31.0,False,tanker,small,6.0,91.0,2024-12-14T14:00:00,2024-12-14T20:07:53.386970,31.3922,-18.7523,0
220235038,10201,Denmark,12.1,False,container,small,17.5,182.8,2024-11-27T06:00:00,2024-11-27T14:33:59.428252,1.5004,111.1002,0
218907727,6827,Germany,10.8,False,passenger,small,12.6,338.5,2024-11-16T11:00:00,2024-11-16T15:05:16.821913,24.4633,58.4919,0
616904824,5926,Comoros,196.6,True,tanker,large,1.1,62.2,2024-02-28T12:00:00,2024-02-28T16:27:39.773069,1.5556,1.2786,1
